PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional);Match_Status;Match_Confidence;Matched_Provider_Name;Matched_Reason
2340026;Church/Synagogue;ROCK OF AGES LUTH DAY CARE CTR;Colorado Springs;CO;120 N 31st ST;80904;(719)632-9394;http://roalcms.org;40;;renamed_likely;95;ROCK OF AGES LUTHERAN CHILD CARE CTR;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2344515;Church/Synagogue;ST PAUL'S NURSERY SCHOOL;Fairfield;CT;661 Old;06824;(203)255-1902;http://www.stpaulsnurseryschool.net;;;not_found;45;St Paul's Nursery School-Fairfield;Candidate did not meet the balanced city-plus-name acceptance threshold.
2344888;Independent Center;PLAYLAND NURSERY SCHOOL;New Canaan;CT;802 Ponus;06840;(203)966-2937;http://www.playlandnurseryschool.com;20;3 years - 5 years;partial_match;99;PLAYLAND NURSERY SCHOOL REDWOOD;City matched and the provider name partially overlaps with supporting address/contact evidence.
2348688;Independent Center;SCHOOL FOR YOUNG CHILDREN;West Hartford;CT;238 Steele;06117;(860)231-5560;https://www.schoolforyoungchildren.org;145;3 years - 6 years;partial_match;99;THE SCHOOL FOR YOUNG CHILDREN AT THE UNIVERSITY OF SAINT JOSEPH;City matched and the provider name partially overlaps with supporting address/contact evidence.
2348755;Independent Center;WHITING LANE EXT DAY CARE;West Hartford;CT;759 Farmington;06119;(860)233-8462;https://www.whitinglaneedc.org;61;5 years - 12 years;renamed_likely;99;WHITING LANE EXTENDED DAY CARE- FARMINGTON AVENUE;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2350071;Independent Center;BRANFORD EARLY LEARNING CENTER;Branford;CT;16 BIRCH RD, BRANFORD, CT, 06405-6401;06405-6401;(203)488-4512;https://www.branfordearlylearningcenter.com;70;6 weeks - 9 years;exact_match;95;BRANFORD EARLY LEARNING CENTER;Candidate name closely matches the cleaned daycare name in the same city.
2357380;Church/Synagogue;ST TIMOTHYS NURSERY SCHOOL CDC;Washington;DC;;;(202)584-5662;http://www.sttimothyscdc.org;;;not_found;45;St. Timothy's Child Development Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2359637;Church/Synagogue;FIRST BAPTIST PRE-SCH LRNG CTR;Pompano Beach;FL;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2359807;Church/Synagogue;HAPPYLAND DAY SCHOOL;Fort Lauderdale;FL;451 Tarpon Dr;33301;(954)463-6051;http://happylanddayschool.org;150;22 mo - 4 year 11 mo;exact_match;92;Happyland Day School;Candidate name closely matches the cleaned daycare name in the same city.
2363767;Church/Synagogue;1ST UNITED METHODIST CHRN SCH;Homestead;FL;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2371221;Independent Center;HAPPY ACRES RANCH;Jacksonville;FL;7117 Crane Ave;32216;(904)725-1410;http://www.happyacresranch.com;300;1 mo - 13 year;exact_match;99;Happy Acres Ranch;Candidate name closely matches the cleaned daycare name in the same city.
2371453;Independent Center;MICHELE BLOCK YELADIN PRE-SCH;Jacksonville;FL;;;;https://jcajax.org;;;not_found;45;Michele Block;Candidate did not meet the balanced city-plus-name acceptance threshold.
2375588;Independent Center;ALPHABET LEARNING CENTER;Tampa;FL;4423 Kelly;33615;(813)884-4542;http://www.alphabetlearningcenter.com;;;not_found;45;Alphabet Learning Academy;Candidate did not meet the balanced city-plus-name acceptance threshold.
2377421;Church/Synagogue;PALMA CEIA UNITED METH DAY SCH;Tampa;FL;3723 W Bay to Bay Blvd;33629;(813)837-1541;https://www.palmaceiamethodist.org;174;1 mo - 4 year 11 mo;renamed_likely;99;Palma Ceia United Methodist Day School;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2381824;Church/Synagogue;WEE WORLD CHILD DEV CTR;Palmetto;FL;1020 4th St W;34221;(941)722-0810;https://www.fbcpalmetto.com;138;;expanded_match;95;Wee World Child Development Center;Candidate matched one of the ranked expanded search-name variants.
2382799;Independent Center;GERTRUDE WALDEN CHILD CARE CTR;Stuart;FL;601 SE Lake St;34994;(772)283-6321;http://www.gertrudewalden.org;183;;exact_match;99;Gertrude Walden Child Care Center, Inc.;Candidate name closely matches the cleaned daycare name in the same city.
2385777;College/University Based;U C F CREATIVE SCH FOR CHILD;Orlando;FL;12852;32816;(407)823-2726;https://csc.sdes.ucf.edu;;;not_found;45;UCF Creative School for Children;Candidate did not meet the balanced city-plus-name acceptance threshold.
2392940;Independent Center;GINGERBREAD SCHOOL AZALEA;St Petersburg;FL;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2398786;Independent Center;GINGERBREAD SCHOOL-BARDMOOR;Seminole;FL;7970 Starkey Rd;33777;(727)397-8207;https://www.gingerbreadschool.com;160;;exact_match;99;Gingerbread School - Bardmoor;Candidate name closely matches the cleaned daycare name in the same city.
2398968;Church/Synagogue;TRINITY PRESBYTERIAN PRE-SCH;Clearwater;FL;2001 Rainbow Dr;33765;(727)446-0959;http://trinitypreschoolclearwater.org;92;24 mo - 4 year 11 mo;renamed_likely;95;Trinity Presbyterian Church Preschool;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2400377;Church/Synagogue;FIRST UNITED METHODIST PRE-SCH;Lake Wales;FL;230 N 5th St;33853;(863)676-6617;https://www.fumclw.org;150;;expanded_match;99;First United Methodist Preschool;Candidate matched one of the ranked expanded search-name variants.
2406280;Independent Center;SKYLINE CHRISTIAN ACADEMY;Ellenwood;GA;2877 Bouldercrest;30294;(404)241-7202;http://theskylineacademy.com;;;not_found;45;Skyline Christian Academy;Candidate did not meet the balanced city-plus-name acceptance threshold.
2413506;Independent Center;JOYLAND EARLY LEARNING CENTER;Gainesville;GA;1080 Rainey;30501;(770)373-4441;https://www.otterlearning.com;;;not_found;45;Joyland Child Development Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2418154;Church/Synagogue;ST CLEMENTS SCHOOL;Honolulu;HI;1515 Wilder;96822;(808)949-2082;http://www.stclem.com;;;not_found;45;St Clement's School;Candidate did not meet the balanced city-plus-name acceptance threshold.
2419392;Church/Synagogue;KAHULUI BAPTIST PRE-SCHOOL;Kahului;HI;309 Puunene;96732;(808)877-7243;http://www.kahuluibaptistpreschool.com;;;not_found;45;Kahului Baptist Preschool;Candidate did not meet the balanced city-plus-name acceptance threshold.
2423446;Independent Center;ZEARING CHILD ENRICHMENT CTR;Princeton;IL;633 MASONIC DRIVE, PRINCETON, IL, 61356;61356;(815)875-2335;http://www.zcec.org;154;;exact_match;99;ZEARING CHILD ENRICHMENT CENTER INC.;Candidate name closely matches the cleaned daycare name in the same city.
2424828;Independent Center;ST DAVID'S NURSERY SCHOOL;Glenview;IL;2410 Glenview Rd;60025;(847)724-7841;http://www.stdavidspreschool.com;57;24 mo - 6 year;exact_match;99;St. David's Nursery School, Inc.;Candidate name closely matches the cleaned daycare name in the same city.
2424830;Independent Center;WESLEY CHILD CARE CENTER;Glenview;IL;727 Harlem Ave;60025;(847)729-0184;http://www.wesleychildcarecenter.com;62;24 mo - 6 year;exact_match;92;Wesley Child Care Center;Candidate name closely matches the cleaned daycare name in the same city.
2427959;College/University Based;MORAINE VALLEY CMTY CLGE CCC;Palos Hills;IL;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2428654;Independent Center;GADS HILL CENTER AFTER SCHOOL;Chicago;IL;1919 WEST CULLERTON, CHICAGO, IL, 60608;60608;(312)226-0963;http://www.gadshillcenter.org;74;;exact_match;99;GADS HILL CENTER AFTER SCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2429103;Independent Center;LINCOLN PARK CO-OP NURSERY SCH;Chicago;IL;1753 N;60614;(312)944-5469;https://www.lincolnparkcoop.org;40;;renamed_likely;99;LINCOLN PARK COOPERATIVE NURSERY SCHOOL;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2430487;Independent Center;ALBANY PARK CMTY DAY CARE CTR;Chicago;IL;5101 N Kimball Ave;60625;(773)509-5657;http://www.apccchgo.org;;24 mo - 12 year;renamed_likely;95;Albany Park Community Center;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2431675;Independent Center;BEVERLY CASTLE ACADEMY;Chicago;IL;10244 S LONGWOOD DR, CHICAGO, IL, 60643;60643;(773)239-2299;https://beverlycastle.com;79;;partial_match;99;THE BEVERLY CASTLE CTR FOR ERLY CHLDHD;City matched and the provider name partially overlaps with supporting address/contact evidence.
2433764;Church/Synagogue;TODDLERS CAMPUS;Wheaton;IL;1310 N MAIN ST, WHEATON, IL, 60187;60187;(630)665-0330;https://toddlerscampus.com;96;;exact_match;99;TODDLERS CAMPUS PRESCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2433843;Church/Synagogue;CMTY PRESBY CHLDRN'S PROGRAM;Clarendon Hills;IL;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2434172;Independent Center;LEARNING IS FUN NURSERY SCHOOL;Naperville;IL;1313 N MILL ST, NAPERVILLE, IL, 60563;60563;(630)357-4836;http://learningisfunpreschool.com;60;;exact_match;99;LEARNING IS FUN NURSERY SCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2435009;Independent Center;GENESEO DEV & GROWTH;Geneseo;IL;541 E NORTH ST, GENESEO, IL, 61254;61254;(309)944-5024;;130;;renamed_likely;99;GENESEO DEVELOPMENT & GROWTH, INC. #2;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2435243;Independent Center;RAINBOWS END;Carbondale;IL;650 S;62901;(618)453-6358;https://rainbowsend.siu.edu;133;1 mo - 12 year;partial_match;99;Southern Illinois University Rainbow's End Child Development Center;City matched and the provider name partially overlaps with supporting address/contact evidence.
